"gene","anno","WJ01","WJ02","WJ04","HG-LG DNA","TIIA-HG DNA","HG-LG","TIIA-HG","reg"
"Acta1","Promoter (1-2kb)",0.32,0.490566037735849,0.519480519480519,17.0566037735849,2.89144817446704,-0.778058249140853,0.379239302203618,"Promoter"
"Cbr2","Promoter (1-2kb)",0.111111111111111,0.25,0.225806451612903,13.8888888888889,-2.41935483870968,-0.482602365614683,0.647801904972992,"Promoter"
"Col7a1","Promoter (2-3kb)",0.80952380952381,1,0.961538461538462,19.047619047619,-3.84615384615384,-1.06575470920892,0.868906680521078,"Promoter"
"Ephx4","Promoter (<=1kb)",0.355140186915888,0.504273504273504,0.382198952879581,14.9133317357616,-12.2074551393923,-2.6260551556958,1.99896722108545,"Promoter"
"Ephx4","Promoter (<=1kb)",0.88659793814433,0.99,0.934959349593496,10.340206185567,-5.50406504065041,-2.6260551556958,1.99896722108545,"Promoter"
"Folr1","Promoter (<=1kb)",0.872340425531915,1,0.929824561403509,12.7659574468085,-7.01754385964912,-0.426382810859439,0.506654008329969,"Promoter"
"Gulo","Promoter (2-3kb)",0.619047619047619,0.804347826086957,0.659090909090909,18.5300207039337,-14.5256916996047,-3.04109265497465,1.99896722108545,"Promoter"
"Kcnip2","Promoter (1-2kb)",0.309859154929577,0.425531914893617,0.378048780487805,11.567275996404,-4.74831344058121,-3.04109265497465,1.99896722108545,"Promoter"
"Kirrel3","Promoter (<=1kb)",0.353741496598639,0.455621301775148,0.415730337078652,10.1879805176508,-3.98909646964962,-0.860520409332827,0.611944097976204,"Promoter"
"Mak","Promoter (<=1kb)",0.567567567567568,0.771929824561403,0.722222222222222,20.4362256993836,-4.97076023391813,-1.77805824914085,1.99896722108545,"Promoter"
"Mamdc2","Promoter (<=1kb)",0.787878787878788,0.896551724137931,0.958333333333333,10.8672936259143,6.17816091954023,-2.50052427361195,1.58392972180661,"Promoter"
"Npas3","Promoter (1-2kb)",0.655913978494624,0.757281553398058,0.768115942028985,10.1367574903435,1.08343886309272,-2.6260551556958,1.99896722108545,"Promoter"
"Npas3","Promoter (<=1kb)",0.0476190476190476,0.26,0.153846153846154,21.2380952380952,-10.6153846153846,-2.6260551556958,1.99896722108545,"Promoter"
"Npas3","Promoter (<=1kb)",0.719101123595506,0.857142857142857,0.797752808988764,13.8041733547352,-5.93900481540931,-2.6260551556958,1.99896722108545,"Promoter"
"Pitpnm3","Promoter (1-2kb)",0.563636363636364,0.679245283018868,0.630434782608696,11.5608919382504,-4.88105004101722,-0.903589131224713,0.539535602448154,"Promoter"
"Psen2","Promoter (1-2kb)",0.137931034482759,0.386666666666667,0.230769230769231,24.8735632183908,-15.5897435897436,-0.317932860333473,0.432953823165286,"Promoter"
"Psen2","Promoter (1-2kb)",0.8,0.958333333333333,1,15.8333333333333,4.16666666666666,-0.317932860333473,0.432953823165286,"Promoter"
"Psen2","Promoter (<=1kb)",0.485714285714286,0.588235294117647,0.424242424242424,10.2521008403361,-16.3992869875223,-0.317932860333473,0.432953823165286,"Promoter"
"Sh3bgr","Promoter (<=1kb)",0.530434782608696,0.707142857142857,0.634920634920635,17.6708074534161,-7.22222222222223,-3.6260551556958,3.99896722108545,"Promoter"
"Tgfb1i1","Promoter (<=1kb)",0.676470588235294,0.833333333333333,0.78125,15.6862745098039,-5.20833333333334,-0.712028378805657,0.817128898099638,"Promoter"
"Tnfrsf25","Promoter (1-2kb)",0.625806451612903,0.767123287671233,0.631313131313131,14.131683605833,-13.5810156358102,-2.84844757703225,2.80632214314306,"Promoter"
"Tnfrsf25","Promoter (2-3kb)",0.558823529411765,0.8,0.605263157894737,24.1176470588235,-19.4736842105263,-2.84844757703225,2.80632214314306,"Promoter"
"Ttc21a","Promoter (<=1kb)",0.381578947368421,0.565217391304348,0.509615384615385,18.3638443935927,-5.56020066889632,-1.28902016841823,0.90585781669397,"Promoter"
"Ttc21a","Promoter (2-3kb)",0.759259259259259,0.861538461538462,0.795918367346939,10.2279202279202,-6.56200941915228,-1.28902016841823,0.90585781669397,"Promoter"
"Upk3b","Promoter (1-2kb)",0.602040816326531,0.757894736842105,0.65625,15.5853920515575,-10.1644736842105,-1.13301514441569,1.40925119039366,"Promoter"
