"gene","anno","WJ01","WJ02","WJ04","HG-LG DNA","TIIA-HG DNA","HG-LG","TIIA-HG","reg"
"Adcy7","Promoter (<=1kb)",0.863636363636364,0.761904761904762,0.871794871794872,-10.1731601731602,10.989010989011,0.607434974523974,-0.46669635126336,"Promoter"
"Col11a2","Promoter (2-3kb)",0.92,0.828571428571429,1,-9.14285714285714,17.1428571428571,1.54386984574651,-2.00103277891455,"Promoter"
"Dmrta2","Promoter (<=1kb)",0.374301675977654,0.311688311688312,0.456221198156682,-6.26133642893419,14.453288646837,2.12883234646766,-1.5859952796357,"Promoter"
"Dmrta2","Promoter (1-2kb)",0.479591836734694,0.407407407407407,0.525581395348837,-7.21844293272865,11.817398794143,2.12883234646766,-1.5859952796357,"Promoter"
"Epcam","Promoter (<=1kb)",0.425373134328358,0.296296296296296,0.414141414141414,-12.9076838032062,11.7845117845118,0.776043287875542,-1.7510545259062,"Promoter"
"Esr1","Promoter (<=1kb)",0.921875,0.708860759493671,0.907692307692308,-21.3014240506329,19.8831548198637,0.48399838976911,-0.796212987026051,"Promoter"
"H2-Q5","Promoter (<=1kb)",0.496969696969697,0.397894736842105,0.502145922746781,-9.90749601275917,10.4251185904676,0.353439188869555,-0.735051089030418,"Promoter"
"Has3","Promoter (1-2kb)",0.710843373493976,0.619834710743802,0.729032258064516,-9.10086627501742,10.9197547320714,0.665176141968642,-0.59767708468334,"Promoter"
"Irf7","Promoter (<=1kb)",0.604838709677419,0.615384615384615,0.72,1.0545905707196,10.4615384615385,0.327378025849745,-1.19171634052366,"Promoter"
"Itpka","Promoter (<=1kb)",0.425925925925926,0.381818181818182,0.597014925373134,-4.41077441077441,21.5196743554952,1.31254429964005,-0.717239812913958,"Promoter"
"Liph","Promoter (<=1kb)",0.148148148148148,0.142857142857143,0.25,-0.529100529100529,10.7142857142857,1.160541206195,-0.82415501683047,"Promoter"
"Lrrc15","Promoter (1-2kb)",0.620689655172414,0.548387096774194,0.733333333333333,-7.23025583982203,18.494623655914,1.33741896827908,-1.00103277891455,"Promoter"
"Map7","Promoter (<=1kb)",0.4625,0.635761589403974,0.742138364779874,17.3261589403974,10.6376775375901,0.783820638467261,-0.669826870439175,"Promoter"
"Mdga1","Promoter (2-3kb)",0.403225806451613,0.333333333333333,0.471428571428571,-6.98924731182796,13.8095238095238,0.591175560524865,-0.431667133244411,"Promoter"
"Myzap","Promoter (<=1kb)",0.804878048780488,0.8,0.951612903225806,-0.487804878048781,15.1612903225806,0.436954641829997,-0.301541890167006,"Promoter"
"Nmu","Promoter (1-2kb)",0.4,0.394736842105263,0.518518518518518,-0.526315789473686,12.3781676413255,4.12883234646766,-0.849029685469499,"Promoter"
"Obscn","Promoter (<=1kb)",0.390804597701149,0.337662337662338,0.490445859872611,-5.31422600388118,15.2783522210274,3.12883234646766,-3.17095778035686,"Promoter"
"Pacsin1","Promoter (<=1kb)",0.224489795918367,0.333333333333333,0.530612244897959,10.8843537414966,19.7278911564626,1.01780103407892,-0.737998373080754,"Promoter"
"Pacsin1","Promoter (1-2kb)",0.846938775510204,0.75,0.861386138613861,-9.69387755102041,11.1386138613861,1.01780103407892,-0.737998373080754,"Promoter"
"Pacsin1","Promoter (1-2kb)",0.423728813559322,0.307692307692308,0.420289855072464,-11.6036505867014,11.2597547380156,1.01780103407892,-0.737998373080754,"Promoter"
"Pax9","Promoter (<=1kb)",0.441176470588235,0.25,0.428571428571429,-19.1176470588235,17.8571428571429,0.523691963808879,-1.02149688147426,"Promoter"
"Pip5k1b","Promoter (1-2kb)",0.753623188405797,0.640350877192982,0.766081871345029,-11.3272311212815,12.5730994152047,0.554517089946017,-0.53390676848725,"Promoter"
"Rimbp3","Promoter (<=1kb)",0.426470588235294,0.411392405063291,0.535294117647059,-1.50781831720029,12.3901712583768,1.3739448443042,-0.585995279635705,"Promoter"
"Sept3","Promoter (<=1kb)",0.224137931034483,0.183673469387755,0.404761904761905,-4.04644616467276,22.108843537415,0.430213063950942,-0.472338497840138,"Promoter"
"Syngr3","Promoter (<=1kb)",0.596491228070175,0.576,0.721590909090909,-2.04912280701754,14.5590909090909,0.386328568760028,-0.510331009703633,"Promoter"
"Tdrd5","Promoter (<=1kb)",0.655172413793103,0.566666666666667,0.703448275862069,-8.85057471264368,13.6781609195402,0.801366068038872,-0.894117574998037,"Promoter"
"Trpc1","Promoter (<=1kb)",0.217948717948718,0.0925925925925926,0.231884057971014,-12.5356125356125,13.9291465378422,0.396116225302817,-0.339557384332606,"Promoter"
