"gene","anno","WJ01","WJ02","WJ04","HG-LG DNA","TIIA-HG DNA","HG-LG","TIIA-HG","reg"
"Adcy7","Promoter (<=1kb)",0.572549019607843,0.420600858369099,0.520179372197309,-15.1948161238744,9.95785138282107,0.607434974523974,-0.46669635126336,"Promoter"
"Adcy7","Promoter (<=1kb)",0.863636363636364,0.761904761904762,0.871794871794872,-10.1731601731602,10.989010989011,0.607434974523974,-0.46669635126336,"Promoter"
"Alcam","Promoter (1-2kb)",0.675675675675676,0.432432432432432,0.336734693877551,-24.3243243243243,-9.56977385548815,0.665176141968642,-1.3113728995267,"Promoter"
"Cd59a","Promoter (<=1kb)",0.730337078651685,0.601694915254237,0.691780821917808,-12.8642163397448,9.0085906663571,2.95890734502535,-0.679104684027187,"Promoter"
"Efr3b","Promoter (<=1kb)",0.71875,0.617021276595745,0.538461538461538,-10.1728723404255,-7.85597381342062,1.1109104384704,-1.32296087380191,"Promoter"
"Epcam","Promoter (<=1kb)",0.425373134328358,0.296296296296296,0.414141414141414,-12.9076838032062,11.7845117845118,0.776043287875542,-1.7510545259062,"Promoter"
"Epcam","Promoter (2-3kb)",0.869565217391304,0.661538461538462,0.69811320754717,-20.8026755852843,3.65747460087082,0.776043287875542,-1.7510545259062,"Promoter"
"Esam","Promoter (<=1kb)",0.732558139534884,0.621359223300971,0.697841726618705,-11.1198916233913,7.64825033177342,1.44433417219559,-1.48645960608479,"Promoter"
"Esr1","Promoter (<=1kb)",0.921875,0.708860759493671,0.907692307692308,-21.3014240506329,19.8831548198637,0.48399838976911,-0.796212987026051,"Promoter"
"Evpl","Promoter (<=1kb)",0.689393939393939,0.493055555555556,0.585798816568047,-19.6338383838384,9.27432610124917,0.870747156605604,-0.524100745909763,"Promoter"
"Fam110c","Promoter (<=1kb)",0.439716312056738,0.23972602739726,0.337931034482759,-19.9990284659477,9.82050070854984,1.43283853335776,-0.474963967246961,"Promoter"
"Fgl2","Promoter (<=1kb)",0.774774774774775,0.671532846715328,0.744186046511628,-10.3241928059446,7.26531997962995,2.41833896366265,-1.87550189683069,"Promoter"
"Nckap5","Promoter (<=1kb)",0.660377358490566,0.543478260869565,0.636842105263158,-11.6899097621001,9.33638443935927,2.76626226708296,-1.223425200251,"Promoter"
"Pacsin1","Promoter (1-2kb)",0.175675675675676,0.0705882352941176,0.122222222222222,-10.5087440381558,5.16339869281046,1.01780103407892,-0.737998373080754,"Promoter"
"Pacsin1","Promoter (1-2kb)",0.423728813559322,0.307692307692308,0.420289855072464,-11.6036505867014,11.2597547380156,1.01780103407892,-0.737998373080754,"Promoter"
"Pax9","Promoter (<=1kb)",0.441176470588235,0.25,0.428571428571429,-19.1176470588235,17.8571428571429,0.523691963808879,-1.02149688147426,"Promoter"
"Pcdhgc4","Promoter (<=1kb)",0.533557046979866,0.415584415584416,0.419354838709677,-11.797263139545,0.377042312526182,0.909997744544406,-1.27405127332096,"Promoter"
"Pip5k1b","Promoter (1-2kb)",0.753623188405797,0.640350877192982,0.766081871345029,-11.3272311212815,12.5730994152047,0.554517089946017,-0.53390676848725,"Promoter"
"Plb1","Promoter (<=1kb)",0.787878787878788,0.588235294117647,0.642857142857143,-19.9643493761141,5.46218487394958,1.69587293919156,-0.659995861079482,"Promoter"
"Prss35","Promoter (<=1kb)",0.575757575757576,0.467625899280576,0.511111111111111,-10.8131676477,4.34852118305356,0.498066156133383,-0.633300994414061,"Promoter"
"Rasgef1a","Promoter (<=1kb)",0.587786259541985,0.485148514851485,0.469798657718121,-10.26377446905,-1.53498571333643,0.717899245521558,-0.373001556301507,"Promoter"
"Rgcc","Promoter (<=1kb)",0.319148936170213,0.210144927536232,0.161016949152542,-10.9004008633981,-4.91279783836895,0.958907345025352,-1.10794798283106,"Promoter"
"Sept3","Promoter (2-3kb)",0.58974358974359,0.428571428571429,0.431372549019608,-16.1172161172161,0.280112044817932,0.430213063950942,-0.472338497840138,"Promoter"
"Slc2a4","Promoter (<=1kb)",0.325,0.219607843137255,0.256410256410256,-10.5392156862745,3.68024132730015,0.821403821275418,-0.820460533272728,"Promoter"
"Strip2","Promoter (<=1kb)",0.222929936305732,0.08125,0.127753303964758,-14.1679936305732,4.65033039647577,0.326116319213581,-0.337214857482153,"Promoter"
"Tex15","Promoter (<=1kb)",1,0.894736842105263,0.972222222222222,-10.5263157894737,7.7485380116959,0.506001660156066,-0.320405168898155,"Promoter"
"Tex15","Promoter (<=1kb)",0.567441860465116,0.427272727272727,0.412844036697248,-14.0169133192389,-1.44286905754795,0.506001660156066,-0.320405168898155,"Promoter"
"Trpc1","Promoter (<=1kb)",0.217948717948718,0.0925925925925926,0.231884057971014,-12.5356125356125,13.9291465378422,0.396116225302817,-0.339557384332606,"Promoter"
