"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Storey et al. 2003) < 0.5)"
Abcg4	4	7	-0.807354922057604	-0.808387700972153	-0.911422615378477	0.362072742130729	0.658954886671318	0.469181834080254	TRUE
Gm7444	4	7	-0.807354922057604	-0.808387700972153	-0.911422615378477	0.362072742130729	0.658954886671318	0.469181834080254	TRUE
Slc22a14	33	26	0.343954401217362	0.342921622302813	0.909657330007319	0.363003253918209	0.658797696915536	0.469327047601518	TRUE
Derl3	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Snord91a	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
0610009L18Rik	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Ppp1r27	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
4930512B01Rik	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Gm13986	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Frmpd1	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Mn1	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Gm4532	7	4	0.807354922057604	0.806322143143055	0.909093787123733	0.363300621827673	0.65873657399605	0.469327047601518	TRUE
Myl4	19	25	-0.395928676331139	-0.396961455245688	-0.908307093141453	0.363715995998263	0.658760822867149	0.469507049547323	TRUE
Tspan6	19	25	-0.395928676331139	-0.396961455245688	-0.908307093141453	0.363715995998263	0.658760822867149	0.469507049547323	TRUE
Dppa2	25	19	0.395928676331139	0.39489589741659	0.903580788351226	0.36621773211492	0.661185585305084	0.471372358157071	TRUE
Dnah7a	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Ccdc150	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
C130036L24Rik	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Dbil5	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Ltbp2	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Tnfrsf13c	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
AI839979	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Nat8l	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Nos1	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Dnah10	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
B230206H07Rik	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Camkv	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Gm14379	8	12	-0.584962500721156	-0.585995279635705	-0.89902676643621	0.368638403698426	0.662208450492053	0.471583332211834	TRUE
Cyp46a1	18	13	0.46948528330122	0.468452504386671	0.898008295271202	0.369181127037939	0.661690010745861	0.471703827511502	TRUE
Gm10416	18	13	0.46948528330122	0.468452504386671	0.898008295271202	0.369181127037939	0.661690010745861	0.471703827511502	TRUE
